id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0033-RO3310,25,25.35,3744,3687,1996,0.350000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.51611111|-9.37555556
ctb0033-RO3322,25,32.75,3395,3310,1996,7.75,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.86611111|-9.57277778
ctb0033-RO3323,25,25.71,3521,3456,1996,0.710000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.78083333|-9.51472222
ctb0033-RO3705,25,24.18,4088,3886,1996,-0.82,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.05888889|-8.88944444
ctb0033-RO1894,26,24.81,7376,4149,1996,-1.19,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.44277778|-9.19888889
ctb0033-RO2329,26,26.1,4250,4013,1996,0.100000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.90722222|-8.32055556
ctb0033-RO2973,26,26.01,3930,3853,1996,0.0100000000000016,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.90027778|-9.71972222
ctb0033-RO3347,26,25.53,4947,4031,1996,-0.469999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.84861111|-9.365
ctb0033-RO3353,26,25.57,3917,3829,1996,-0.43,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.02722222|-8.89416667
ctb0033-RO3591,26,25.35,,,1996,-0.649999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.93861111|-8.3575
ctb0033-RO3735,26,25.23,4017,3926,1996,-0.77,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.88083333|-8.35277778
ctb0033-RO2909,27,26.5,3428,3244,1996,-0.5,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.66416667|-9.30833333
ctb0033-RO2920,27,26.13,4097,3774,1996,-0.870000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.32611111|-9.73583333
ctb0033-RO2935,27,27.09,3583,3518,1996,0.0899999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.13138889|-9.745
ctb0033-RO2941,27,26.49,3807,3786,1996,-0.510000000000002,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.55416667|-9.64583333
ctb0033-RO2955,27,27.22,4203,4028,1996,0.219999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.60527778|-9.6625
ctb0033-RO2966,27,27.74,3536,3463,1996,0.739999999999998,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.93222222|-9.57444444
ctb0033-RO2968,27,25.88,5484,4032,1996,-1.12,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.08916667|-9.67472222
ctb0033-RO2976,27,27.05,3855,3815,1996,0.0500000000000007,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.63805556|-9.87027778
ctb0033-RO2989,27,27.13,3850,3743,1996,0.129999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.31194444|-9.73583333
ctb0033-RO3700,27,25.64,4042,3982,1996,-1.36,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.96222222|-8.9425
ctb0033-RO3706,27,26.21,4317,4345,1996,-0.789999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.89527778|-8.89194444
ctb0033-RO3724,27,26.33,3857,3832,1996,-0.670000000000002,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.06083333|-9.13944444
ctb0033-RO3728,27,26.46,3905,3697,1996,-0.539999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.52666667|-8.01472222
